Name,Email,SalesPage
Elliott Schwartz,schwartz_e@outlook.com,acessorios
Robert Baxter,baxter.r@icloud.com,acessorios
Curtis Mcconnell,mcconnell_c@icloud.com,computadores e PCs
Saul Goodman,goodman_s@gmail.com,monitores
Angela Bennett,bennett.a@outlook.com,monitores
Tara Maldonado,maldonado_t@gmail.com,acessorios
Mr. Brian Roman,roman_m@gmail.com,notebooks
Lyle,lyle_l@icloud.com,notebooks
Todd Alquist,alquist.t@outlook.com,monitores
Chuck McGill,mcgill.c@outlook.com,computadores e PCs
Patrick Gutierrez,gutierrez_p@outlook.com,computadores e PCs
Walter White,white_w@gmail.com,acessorios
Jesse Pinkman,pinkman.j@icloud.com,monitores
Billy Miller,miller.b@icloud.com,monitores
Anthony Aguirre,aguirre.a@gmail.com,computadores e PCs
Francesca Liddy,liddy_f@outlook.com,monitores
Zachary Baker,baker_z@icloud.com,acessorios
Deborah Wright,wright_d@icloud.com,acessorios
Kevin Wachtell,wachtell.k@icloud.com,acessorios
Huell Babineaux,babineaux.h@gmail.com,notebooks
Daniel Wilson,wilson.d@gmail.com,acessorios
Jimmy McGill,mcgill.j@icloud.com,monitores
Lado Salamanca,salamanca.l@outlook.com,acessorios
Heather Moore,moore.h@outlook.com,monitores
John Hendricks,hendricks_j@icloud.com,notebooks
Mary Church,church_m@gmail.com,acessorios
Patrick Daniel,daniel_p@gmail.com,computadores e PCs
Nacho Varga,varga.n@outlook.com,notebooks
Kevin Evans,evans.k@icloud.com,monitores
Yvette Jones,jones.y@gmail.com,computadores e PCs
Toni Rice DDS,dds.t@outlook.com,notebooks
Tyler Henderson DDS,dds_t@gmail.com,acessorios
Ted Beneke,beneke_t@outlook.com,monitores
Omar,omar_o@outlook.com,computadores e PCs
Betsy Kettleman,kettleman_b@icloud.com,monitores
Leah Hayden,hayden_l@icloud.com,acessorios
Wanda Harris,harris_w@icloud.com,monitores
Jonathan Williams,williams_j@gmail.com,notebooks
Tyler Kennedy,kennedy.t@gmail.com,computadores e PCs
Kathy Olson,olson_k@gmail.com,computadores e PCs
Amy Lopez,lopez_a@outlook.com,acessorios
Blake Thomas,thomas.b@gmail.com,notebooks
Angela French,french_a@outlook.com,computadores e PCs
Lisa Morris PhD,phd.l@outlook.com,acessorios
Jeffery Shelton,shelton_j@outlook.com,acessorios
Patrick Roberts,roberts.p@outlook.com,notebooks
Patrick Stuart,stuart_p@gmail.com,acessorios
Gretchen Schwartz,schwartz_g@gmail.com,acessorios
Danielle Medina,medina_d@gmail.com,notebooks
Manuel Varga,varga.m@icloud.com,acessorios
Donald Solis,solis_d@outlook.com,notebooks
Anita,anita.a@outlook.com,monitores
Jamie Navarro,navarro_j@icloud.com,computadores e PCs
Ashley Johnson,johnson.a@icloud.com,monitores
Joseph Strickland,strickland_j@outlook.com,monitores
Charles Serrano,serrano.c@gmail.com,computadores e PCs
Lisa Jones,jones_l@gmail.com,monitores
Jennifer Johnson,johnson.j@gmail.com,acessorios
Natalie Griffin,griffin.n@icloud.com,acessorios
Brent Evans,evans.b@outlook.com,computadores e PCs
Marco Pasternak,pasternak.m@outlook.com,acessorios
Robert Smith,smith_r@outlook.com,computadores e PCs
Sandra Saunders,saunders.s@outlook.com,acessorios
Scott Fletcher,fletcher.s@icloud.com,acessorios
Adam Summers,summers_a@icloud.com,computadores e PCs
Richard Hooper,hooper.r@outlook.com,notebooks
Rebecca Bois,bois_r@gmail.com,monitores
Lori Heath,heath.l@outlook.com,acessorios
Deborah Marshall,marshall_d@outlook.com,notebooks
Mike Ehrmantraut,ehrmantraut_m@outlook.com,computadores e PCs
Theresa Moyer,moyer_t@icloud.com,computadores e PCs
Paige Novick,novick_p@icloud.com,computadores e PCs
Joshua Walton,walton_j@icloud.com,computadores e PCs
Kuby,kuby.k@outlook.com,monitores
Edward Zhang,zhang_e@icloud.com,monitores
Beth Lozano,lozano.b@outlook.com,notebooks
Isaiah Ramos,ramos.i@outlook.com,acessorios
Victor,victor_v@icloud.com,computadores e PCs
Elizabeth Martinez,martinez_e@icloud.com,monitores
